level,M,N,seed,compressionDistance
13,14,2,1602968899,0.024390243902439025
13,14,2,1607375181,0.024390243902439025
13,14,2,1608496635,0.024390243902439025
13,14,2,1614915674,0.016194331983805668
13,14,2,1616561567,0.024390243902439025
13,14,2,1623518044,0.024390243902439025
13,14,2,1624520590,0.024390243902439025
13,14,2,1624862333,0.024390243902439025
13,14,2,1626524472,0.024390243902439025
13,14,2,1626812112,0.024390243902439025
13,14,2,1628256031,0.024390243902439025
13,14,2,1631339319,0.024390243902439025
13,14,2,1637696943,0.024390243902439025
13,14,2,1642954036,0.024390243902439025
13,14,2,1657283111,0.016194331983805668
13,14,2,1665876214,0.024390243902439025
13,14,2,1668821152,0.024390243902439025
13,14,2,1675090973,0.024390243902439025
13,14,2,1677957757,0.024390243902439025
13,14,2,1686166618,0.024390243902439025
13,14,2,1689482073,0.024390243902439025
13,14,2,1690800294,0.024390243902439025
13,14,2,1695051690,0.024390243902439025
13,14,2,1696604667,0.024390243902439025
13,14,2,1700508618,0.024390243902439025
13,14,2,1700955097,0.024390243902439025
13,14,2,1705278869,0.024390243902439025
13,14,2,1711423587,0.024390243902439025
13,14,2,1717998432,0.024390243902439025
13,14,2,1723531765,0.0
13,14,2,1726861265,0.024390243902439025
13,14,2,1730099521,0.024390243902439025
13,14,2,1730156419,0.024390243902439025
13,14,2,1730276890,0.024390243902439025
13,14,2,1735833908,0.024390243902439025
13,14,2,1743319624,0.024390243902439025
13,14,2,174402657,0.024390243902439025
13,14,2,1746393970,0.024390243902439025
13,14,2,1746911479,0.0
13,14,2,1748697383,0.024390243902439025
13,14,2,1751707333,0.024390243902439025
13,14,2,1752574723,0.024390243902439025
13,14,2,1755292055,0.024390243902439025
13,14,2,1763068524,0.024390243902439025
13,14,2,1763576094,0.024390243902439025
13,14,2,1764043903,0.024390243902439025
13,14,2,1768499843,0.024390243902439025
13,14,2,1774443545,0.024390243902439025
13,14,2,1774840365,0.024390243902439025
13,14,2,1779077855,0.024390243902439025
13,14,2,1781317546,0.024390243902439025
13,14,2,1782951183,0.024390243902439025
13,14,2,1783861618,0.024390243902439025
13,14,2,1790504548,0.024390243902439025
13,14,2,1790547142,0.024390243902439025
13,14,2,1792852689,0.016194331983805668
13,14,2,1799599034,0.024390243902439025
13,14,2,1809669571,0.024390243902439025
13,14,2,1810232875,0.024390243902439025
13,14,2,1813505191,0.024390243902439025
13,14,2,1814757654,0.024390243902439025
13,14,2,1821402939,0.024390243902439025
13,14,2,1822178987,0.024390243902439025
13,14,2,1823588994,0.024390243902439025
13,14,2,1826984946,0.024390243902439025
13,14,2,1830322615,0.016194331983805668
13,14,2,1841792309,0.024390243902439025
13,14,2,1849609110,0.024390243902439025
13,14,2,1857294250,0.024390243902439025
13,14,2,1861239920,0.024390243902439025
13,14,2,186347503,0.024390243902439025
13,14,2,1863483220,0.0
13,14,2,1866042377,0.024390243902439025
13,14,2,1873310931,0.024390243902439025
13,14,2,1876528054,0.024390243902439025
13,14,2,1884945663,0.024390243902439025
13,14,2,189373925,0.024390243902439025
13,14,2,1896021290,0.0
13,14,2,1897075634,0.024390243902439025
13,14,2,1898659241,0.024390243902439025
13,14,2,1900206360,0.024390243902439025
13,14,2,1902717410,0.016194331983805668
13,14,2,1905055054,0.024390243902439025
13,14,2,1911420460,0.024390243902439025
13,14,2,1912136999,0.024390243902439025
13,14,2,191424850,0.024390243902439025
13,14,2,1915908587,0.024390243902439025
13,14,2,1916304979,0.024390243902439025
13,14,2,1920183936,0.024390243902439025
13,14,2,1931141435,0.024390243902439025
13,14,2,1933809232,0.016194331983805668
13,14,2,1933899,0.024390243902439025
13,14,2,1935484263,0.024390243902439025
13,14,2,1938044112,0.024390243902439025
13,14,2,1939118205,0.024390243902439025
13,14,2,1940087077,0.024390243902439025
13,14,2,194393103,0.024390243902439025
13,14,2,1951931375,0.024390243902439025
13,14,2,1952634103,0.024390243902439025
13,14,2,1953450367,0.024390243902439025
13,14,2,1959461210,0.024390243902439025
13,14,2,1962477882,0.024390243902439025
13,14,2,1964046921,0.024390243902439025
13,14,2,1964781881,0.024390243902439025
13,14,2,1967119289,0.024390243902439025
13,14,2,1969082414,0.016194331983805668
13,14,2,1970449289,0.024390243902439025
13,14,2,1978255347,0.024390243902439025
13,14,2,1980365222,0.024390243902439025
13,14,2,1982553882,0.024390243902439025
13,14,2,1991739479,0.0
13,14,2,1992069853,0.016194331983805668
13,14,2,1993039326,0.016194331983805668
13,14,2,200506782,0.024390243902439025
13,14,2,2022487923,0.024390243902439025
13,14,2,2023154055,0.024390243902439025
13,14,2,2024652778,0.024390243902439025
13,14,2,2026284440,0.016194331983805668
13,14,2,2038341442,0.024390243902439025
13,14,2,2044054121,0.024390243902439025
