level,M,N,seed,editDistance
13modified,2,2,2006886622,238
13modified,2,2,2010052489,270
13modified,2,2,201055042,271
13modified,2,2,2011598173,260
13modified,2,2,2013068938,254
13modified,2,2,2027517390,259
13modified,2,2,2027626647,250
13modified,2,2,2032250921,244
13modified,2,2,2041951748,235
13modified,2,2,2046196425,261
13modified,2,2,2062675215,264
13modified,2,2,2067589604,251
13modified,2,2,2068792693,256
13modified,2,2,2068881692,262
13modified,2,2,2079293851,275
13modified,2,2,2080142758,267
13modified,2,2,2080969392,277
13modified,2,2,2083163847,260
13modified,2,2,2087945074,255
13modified,2,2,2089014283,248
13modified,2,2,2090932691,260
13modified,2,2,2092598495,250
13modified,2,2,210085301,259
13modified,2,2,2102878559,253
13modified,2,2,2107015358,268
13modified,2,2,2110303771,245
13modified,2,2,2115544216,260
13modified,2,2,2118360007,250
13modified,2,2,2123071780,253
13modified,2,2,2127447033,273
13modified,2,2,2144013147,269
13modified,2,2,214401323,235
13modified,2,2,215027742,256
13modified,2,2,21590589,260
13modified,2,2,217911835,255
13modified,2,2,225624097,264
13modified,2,2,240543982,267
13modified,2,2,241084305,268
13modified,2,2,242841274,238
13modified,2,2,244816081,270
13modified,2,2,246887963,261
13modified,2,2,247446320,269
13modified,2,2,250200404,255
13modified,2,2,256932183,260
13modified,2,2,257677728,262
13modified,2,2,268468926,252
13modified,2,2,270401505,265
13modified,2,2,273006348,279
13modified,2,2,273504429,270
13modified,2,2,273762270,262
13modified,2,2,273909280,278
13modified,2,2,276054960,256
13modified,2,2,277022702,258
13modified,2,2,287585933,269
13modified,2,2,291400902,272
13modified,2,2,292794631,241
13modified,2,2,29446419,247
13modified,2,2,30129159,267
13modified,2,2,302174330,267
13modified,2,2,30428066,251
13modified,2,2,304659142,279
13modified,2,2,306235539,266
13modified,2,2,313527575,249
13modified,2,2,317816554,252
13modified,2,2,323120058,268
13modified,2,2,325288448,251
13modified,2,2,325474435,258
13modified,2,2,3315379,270
13modified,2,2,337198979,284
13modified,2,2,342032141,250
13modified,2,2,345424665,273
13modified,2,2,354460466,247
13modified,2,2,357235956,261
13modified,2,2,358787718,265
13modified,2,2,361681270,270
13modified,2,2,363398441,272
13modified,2,2,368692553,270
13modified,2,2,369135960,270
13modified,2,2,369794972,257
13modified,2,2,370806344,278
13modified,2,2,371741513,268
13modified,2,2,3734555,261
13modified,2,2,374073761,278
13modified,2,2,37460058,263
13modified,2,2,37482538,262
13modified,2,2,381975381,280
13modified,2,2,387228672,277
13modified,2,2,388860259,265
13modified,2,2,391819589,264
13modified,2,2,393867367,262
13modified,2,2,394630105,263
13modified,2,2,400625198,252
13modified,2,2,414808450,276
13modified,2,2,418032689,270
13modified,2,2,420062575,258
13modified,2,2,421512030,254
13modified,2,2,424487181,252
13modified,2,2,42458609,246
13modified,2,2,425825758,256
13modified,2,2,429719966,253
13modified,2,2,434579139,262
13modified,2,2,440735132,260
13modified,2,2,441325712,286
13modified,2,2,442437377,274
13modified,2,2,450209820,254
13modified,2,2,453876394,254
13modified,2,2,45468468,266
13modified,2,2,455801770,276
13modified,2,2,463435724,264
13modified,2,2,470386698,265
13modified,2,2,473303457,271
13modified,2,2,48015921,253
13modified,2,2,483862740,259
13modified,2,2,489690409,260
13modified,2,2,49040756,265
13modified,2,2,497019322,256
13modified,2,2,498455491,269
13modified,2,2,502696743,244
13modified,2,2,50444496,243
13modified,2,2,507487816,254
13modified,2,2,508221299,272
13modified,2,2,510878913,265
13modified,2,2,511313627,264
13modified,2,2,511867151,287
13modified,2,2,51357965,261
13modified,2,2,520238927,252
13modified,2,2,524402925,263
13modified,2,2,525459331,261
13modified,2,2,536948339,269
13modified,2,2,540080875,271
13modified,2,2,544473760,254
13modified,2,2,545119568,258
13modified,2,2,548562677,255
13modified,2,2,549901415,260
13modified,2,2,553833784,255
13modified,2,2,553905800,267
13modified,2,2,555221366,256
13modified,2,2,557662695,267
13modified,2,2,557768126,229
13modified,2,2,560282076,267
13modified,2,2,565011412,253
13modified,2,2,569705360,266
13modified,2,2,570096274,276
13modified,2,2,574219245,257
13modified,2,2,574329009,255
13modified,2,2,576137700,268
13modified,2,2,579827114,273
13modified,2,2,584311358,277
13modified,2,2,592777082,245
13modified,2,2,596677286,243
13modified,2,2,59669874,243
13modified,2,2,603960518,248
13modified,2,2,608003215,274
13modified,2,2,609166150,275
13modified,2,2,61037658,268
13modified,2,2,613663680,256
13modified,2,2,614943469,265
13modified,2,2,640212326,269
13modified,2,2,651895877,274
13modified,2,2,655544991,249
13modified,2,2,656596515,244
13modified,2,2,660002153,269
13modified,2,2,661117901,267
13modified,2,2,662622032,241
13modified,2,2,663820539,270
13modified,2,2,6761495,256
13modified,2,2,677915807,262
13modified,2,2,683388071,268
13modified,2,2,689168043,265
13modified,2,2,689570361,268
13modified,2,2,691384022,262
13modified,2,2,694120147,273
13modified,2,2,703002836,277
13modified,2,2,709925434,270
13modified,2,2,71160169,256
13modified,2,2,717987529,270
13modified,2,2,721314556,246
13modified,2,2,721589806,259
13modified,2,2,725632225,274
13modified,2,2,732950466,272
13modified,2,2,739520581,246
13modified,2,2,743324537,267
13modified,2,2,75020421,244
13modified,2,2,75350806,261
13modified,2,2,758916509,282
13modified,2,2,769253959,249
13modified,2,2,773104356,258
13modified,2,2,776760131,274
13modified,2,2,779431259,269
13modified,2,2,782680467,260
13modified,2,2,783209712,276
13modified,2,2,788586661,256
13modified,2,2,791193846,266
13modified,2,2,795904209,279
13modified,2,2,799953510,265
13modified,2,2,800496353,256
13modified,2,2,804424103,266
13modified,2,2,812809757,253
13modified,2,2,819996953,264
13modified,2,2,821777305,271
13modified,2,2,82719017,251
13modified,2,2,838638158,249
13modified,2,2,841377589,267
13modified,2,2,841481450,265
13modified,2,2,843316041,280
13modified,2,2,848374563,263
13modified,2,2,850237742,249
13modified,2,2,853308102,250
13modified,2,2,865466663,256
13modified,2,2,877208134,255
13modified,2,2,877309007,271
13modified,2,2,878851656,265
13modified,2,2,882245851,258
13modified,2,2,886636246,255
13modified,2,2,891746805,263
13modified,2,2,9000777,264
13modified,2,2,903568735,255
13modified,2,2,905455703,264
13modified,2,2,906709702,252
13modified,2,2,914627727,246
13modified,2,2,91513417,267
13modified,2,2,916693109,251
13modified,2,2,92055120,253
13modified,2,2,923553484,269
13modified,2,2,926990597,249
13modified,2,2,929509287,256
13modified,2,2,935475955,250
13modified,2,2,93799276,248
13modified,2,2,954272111,249
13modified,2,2,954301870,272
13modified,2,2,96291094,267
13modified,2,2,968925835,271
13modified,2,2,975487570,274
13modified,2,2,976279089,249
13modified,2,2,979199061,244
13modified,2,2,981421282,264
13modified,2,2,992129839,242
13modified,2,2,99541634,268
13modified,2,2,995429404,253
13modified,2,2,996435017,251
13modified,2,2,1001229926,276
13modified,2,2,1011965961,263
13modified,2,2,1020150396,258
13modified,2,2,1026085478,265
13modified,2,2,1035769591,284
13modified,2,2,1037554781,250
13modified,2,2,1038727240,261
13modified,2,2,1040809046,274
13modified,2,2,1042220742,243
13modified,2,2,1042649913,255
13modified,2,2,1044335460,259
13modified,2,2,1050189460,249
13modified,2,2,1050627575,264
13modified,2,2,1051182732,262
13modified,2,2,1053818476,262
13modified,2,2,1068856203,273
13modified,2,2,1069632729,251
13modified,2,2,10774971,253
13modified,2,2,1082892450,245
13modified,2,2,1092839678,260
13modified,2,2,1096439173,287
13modified,2,2,1096462682,250
13modified,2,2,1097786212,255
13modified,2,2,1099793311,259
13modified,2,2,1106287081,256
13modified,2,2,111608068,249
13modified,2,2,1119867826,249
13modified,2,2,1123107713,256
13modified,2,2,1126139731,261
13modified,2,2,1129828703,254
13modified,2,2,1130454950,258
13modified,2,2,1133349639,256
13modified,2,2,1135046305,275
13modified,2,2,1136673452,262
13modified,2,2,1139519006,275
13modified,2,2,1142522534,256
13modified,2,2,1142939550,256
13modified,2,2,114377959,268
13modified,2,2,1145291479,259
13modified,2,2,1146156514,271
13modified,2,2,1147550417,256
13modified,2,2,1149830807,267
13modified,2,2,1155639973,259
13modified,2,2,1155891444,271
13modified,2,2,1159489341,263
13modified,2,2,1162872328,248
13modified,2,2,1167011987,251
13modified,2,2,1169792658,274
13modified,2,2,1171014521,269
13modified,2,2,1178784374,271
13modified,2,2,1183797369,265
13modified,2,2,1186176483,262
13modified,2,2,1192677612,279
13modified,2,2,1193792032,265
13modified,2,2,1194985378,261
13modified,2,2,1199531675,267
13modified,2,2,1200927952,260
13modified,2,2,1202129395,279
13modified,2,2,1204101775,262
13modified,2,2,120821728,256
13modified,2,2,1209579793,264
13modified,2,2,1212215879,266
13modified,2,2,122635625,281
13modified,2,2,1227577445,243
13modified,2,2,1228198418,241
13modified,2,2,123189233,250
13modified,2,2,1235981403,240
13modified,2,2,1240176584,254
13modified,2,2,1240299279,278
13modified,2,2,1242518622,254
13modified,2,2,124266884,255
13modified,2,2,1251498563,251
13modified,2,2,1252036614,285
13modified,2,2,1253107369,268
13modified,2,2,1255139461,266
13modified,2,2,1255669650,262
13modified,2,2,1257357596,261
13modified,2,2,1258275574,265
13modified,2,2,1263347706,264
13modified,2,2,1265971353,253
13modified,2,2,1269366966,285
13modified,2,2,1269791582,270
13modified,2,2,1277682281,277
13modified,2,2,1283478101,256
13modified,2,2,1287767715,244
13modified,2,2,1288857642,259
13modified,2,2,1291548070,280
13modified,2,2,1292230913,265
13modified,2,2,1297727388,269
13modified,2,2,1300976644,282
13modified,2,2,130354990,269
13modified,2,2,1306795621,283
13modified,2,2,1309141301,269
13modified,2,2,131185941,275
13modified,2,2,1319532366,249
13modified,2,2,1325760068,268
13modified,2,2,1326361826,265
13modified,2,2,1328749068,265
13modified,2,2,1330251040,268
13modified,2,2,1332648363,256
13modified,2,2,133731022,260
13modified,2,2,1337339810,268
13modified,2,2,1337776267,272
13modified,2,2,1339053847,238
13modified,2,2,1341278904,269
13modified,2,2,1343157791,266
13modified,2,2,1345449191,271
13modified,2,2,1349486188,275
13modified,2,2,135608223,263
13modified,2,2,1359235740,262
13modified,2,2,1364203706,248
13modified,2,2,1369419591,260
13modified,2,2,137728920,255
13modified,2,2,1379831680,284
13modified,2,2,1381790396,253
13modified,2,2,1382595488,265
13modified,2,2,1389203585,266
13modified,2,2,1402337128,260
13modified,2,2,14077467,267
13modified,2,2,1411740367,255
13modified,2,2,1413466060,250
13modified,2,2,141814821,250
13modified,2,2,1419155383,237
13modified,2,2,1420683024,268
13modified,2,2,1423157577,276
13modified,2,2,1433458730,271
13modified,2,2,1451678684,279
13modified,2,2,1464479372,287
13modified,2,2,1465162440,246
13modified,2,2,1473043204,275
13modified,2,2,1480464729,262
13modified,2,2,1484456904,267
13modified,2,2,1489628639,262
13modified,2,2,1495775795,259
13modified,2,2,1520542207,263
13modified,2,2,1526641525,263
13modified,2,2,1532561611,258
13modified,2,2,1540128350,254
13modified,2,2,1544837667,266
13modified,2,2,154608992,268
13modified,2,2,1547199579,265
13modified,2,2,1547740338,255
13modified,2,2,1561585963,245
13modified,2,2,1566441802,280
13modified,2,2,1568348547,269
13modified,2,2,1584618490,263
13modified,2,2,158638390,268
13modified,2,2,1586421629,257
13modified,2,2,1591017777,260
13modified,2,2,1593668080,281
13modified,2,2,1600883539,275
13modified,2,2,1603703592,253
13modified,2,2,1607022764,248
13modified,2,2,1607317979,265
13modified,2,2,1615587042,232
13modified,2,2,162078586,281
13modified,2,2,163004113,250
13modified,2,2,1630664980,266
13modified,2,2,1633068406,269
13modified,2,2,1634374289,254
13modified,2,2,1634775464,247
13modified,2,2,1636162685,251
13modified,2,2,1638077620,251
13modified,2,2,1638566498,257
13modified,2,2,1645893154,276
13modified,2,2,1651198221,263
13modified,2,2,1656250022,263
13modified,2,2,166572878,269
13modified,2,2,1668688774,253
13modified,2,2,167257553,250
13modified,2,2,1672724631,257
13modified,2,2,1689227618,266
13modified,2,2,1693468319,258
13modified,2,2,1694358957,260
13modified,2,2,1697845565,266
13modified,2,2,1705787132,270
13modified,2,2,1712250307,259
13modified,2,2,1713237707,264
13modified,2,2,1717611273,245
13modified,2,2,1717886909,252
13modified,2,2,1721588255,263
13modified,2,2,1729702861,257
13modified,2,2,1730439277,241
13modified,2,2,173115656,256
13modified,2,2,173292399,273
13modified,2,2,1744553915,272
13modified,2,2,1744737028,268
13modified,2,2,1744804256,276
13modified,2,2,1746431209,255
13modified,2,2,1750559815,254
13modified,2,2,1750637571,261
13modified,2,2,1751145009,261
13modified,2,2,1752074182,260
13modified,2,2,1768833,258
13modified,2,2,177560558,282
13modified,2,2,1778788955,265
13modified,2,2,1779805298,269
13modified,2,2,1779872321,273
13modified,2,2,1785302474,276
13modified,2,2,1793153628,274
13modified,2,2,1794308733,267
13modified,2,2,1794464909,261
13modified,2,2,1797312153,263
13modified,2,2,1799431546,253
13modified,2,2,18107705,256
13modified,2,2,181402991,275
13modified,2,2,1825482834,263
13modified,2,2,1827868359,268
13modified,2,2,1835888877,274
13modified,2,2,1840092092,278
13modified,2,2,1842463727,251
13modified,2,2,1845886320,271
13modified,2,2,1849290766,245
13modified,2,2,1850202467,263
13modified,2,2,185542289,275
13modified,2,2,1862084519,253
13modified,2,2,1865257272,253
13modified,2,2,1866703979,258
13modified,2,2,1871053106,266
13modified,2,2,187352246,253
13modified,2,2,1878855187,266
13modified,2,2,1880925967,281
13modified,2,2,1889767891,274
13modified,2,2,188987678,261
13modified,2,2,1893827026,255
