level,M,N,seed,editDistance
all,6,6,1660858439,262
all,6,6,1662026530,230
all,6,6,166280007,241
all,6,6,166334781,242
all,6,6,1677904051,267
all,6,6,1683701218,251
all,6,6,168411250,287
all,6,6,1684543183,244
all,6,6,1685594765,265
all,6,6,1685953196,237
all,6,6,1689953685,253
all,6,6,1693222528,263
all,6,6,1694557525,243
all,6,6,1700537822,260
all,6,6,1709298975,465
all,6,6,1709478317,283
all,6,6,1711956355,684
all,6,6,1715379521,207
all,6,6,1718609653,515
all,6,6,1719199993,278
all,6,6,1720638826,240
all,6,6,1725833495,239
all,6,6,1726309476,681
all,6,6,1730713732,295
all,6,6,1740515410,271
all,6,6,174212528,258
all,6,6,1742669303,269
all,6,6,1748951366,273
all,6,6,175792671,246
all,6,6,1759231459,263
all,6,6,1769352277,289
all,6,6,1771368512,228
all,6,6,1775477823,288
all,6,6,1777348510,278
all,6,6,177959133,257
all,6,6,177966273,279
all,6,6,1786689215,280
all,6,6,1787252675,274
all,6,6,1787757971,240
all,6,6,179368904,292
all,6,6,1798882863,248
all,6,6,1800330893,282
all,6,6,1809064433,246
all,6,6,1821314341,416
all,6,6,1823838736,247
all,6,6,184032032,257
all,6,6,1842765308,266
all,6,6,184290847,246
all,6,6,1846150510,246
all,6,6,1846775960,263
all,6,6,1850698118,622
all,6,6,1852571051,316
all,6,6,1857201172,253
all,6,6,1866142325,249
all,6,6,1875658582,282
all,6,6,1885977511,292
all,6,6,1898685145,248
all,6,6,1905892850,676
all,6,6,1906888320,264
all,6,6,1907504506,253
all,6,6,1909953860,280
all,6,6,1911499045,272
all,6,6,1913701577,260
all,6,6,1921675435,231
all,6,6,1923293932,274
all,6,6,1924478780,561
all,6,6,1930057449,252
all,6,6,1933532086,254
all,6,6,1933703035,621
all,6,6,1939373811,263
all,6,6,1946703899,257
all,6,6,1952120809,264
all,6,6,1953730364,283
all,6,6,1957242268,254
all,6,6,1958249671,254
all,6,6,1970879817,640
all,6,6,1971687126,224
all,6,6,1975378217,286
all,6,6,1985175603,234
all,6,6,1994848862,254
all,6,6,2006262854,255
all,6,6,2007663477,243
all,6,6,2009060528,262
all,6,6,2013935682,242
all,6,6,2024076555,257
all,6,6,2025122643,263
all,6,6,203299549,237
all,6,6,2033382145,263
all,6,6,203709381,247
all,6,6,2038270502,225
all,6,6,2038618736,253
all,6,6,2040354731,231
all,6,6,204558474,262
all,6,6,2050174941,250
all,6,6,2052630850,253
all,6,6,2060268648,261
all,6,6,2060512113,271
all,6,6,2060726550,232
all,6,6,2064428677,253
all,6,6,2064475016,249
all,6,6,2071033573,275
all,6,6,2075829375,283
all,6,6,2080281558,252
all,6,6,2081320690,249
all,6,6,2084839627,263
all,6,6,2088086414,307
all,6,6,2099656195,248
all,6,6,2100861519,293
all,6,6,2121234753,244
all,6,6,2128838152,250
all,6,6,2129654792,308
all,6,6,2131848898,259
all,6,6,2137030993,249
all,6,6,220459629,256
all,6,6,221080804,280
all,6,6,223479059,277
all,6,6,227473748,241
all,6,6,228040645,261
all,6,6,228296474,246
all,6,6,23526999,571
all,6,6,23872612,260
all,6,6,241126537,697
all,6,6,241484541,262
all,6,6,245090990,251
all,6,6,257047320,254
all,6,6,260173809,259
all,6,6,263363288,263
all,6,6,273700667,307
all,6,6,275086473,280
all,6,6,275873958,298
all,6,6,281041328,287
all,6,6,281685584,303
all,6,6,283344703,281
all,6,6,286213106,280
all,6,6,296357377,244
all,6,6,302691776,270
all,6,6,307770368,262
all,6,6,313495599,264
all,6,6,314026545,252
all,6,6,321690976,240
all,6,6,323475127,518
all,6,6,333380768,231
all,6,6,333404768,642
all,6,6,33780075,254
all,6,6,347353465,245
all,6,6,349724904,279
all,6,6,351188020,658
all,6,6,352126386,247
all,6,6,352199924,258
all,6,6,362404357,254
all,6,6,364977488,240
all,6,6,371020991,616
all,6,6,371044287,255
all,6,6,374289210,284
all,6,6,377370709,243
all,6,6,380668889,251
all,6,6,387591904,267
all,6,6,393278912,254
all,6,6,395252757,689
all,6,6,396149372,310
all,6,6,396524270,250
all,6,6,398815596,270
all,6,6,413559884,251
all,6,6,420310732,259
all,6,6,421111741,271
all,6,6,437903903,260
all,6,6,439781385,276
all,6,6,441021166,319
all,6,6,441414792,310
all,6,6,445095270,234
all,6,6,453387707,224
all,6,6,454581601,257
all,6,6,466095936,232
all,6,6,467949019,247
all,6,6,470319046,261
all,6,6,470319372,269
all,6,6,475198297,284
all,6,6,489236517,240
all,6,6,491843546,236
all,6,6,496460768,247
all,6,6,497619302,230
all,6,6,498030622,263
all,6,6,498807819,238
all,6,6,508977800,270
all,6,6,512517753,268
all,6,6,513064205,232
all,6,6,525213633,251
all,6,6,530064211,252
all,6,6,530298087,266
all,6,6,535445604,265
all,6,6,53906276,247
all,6,6,540777305,264
all,6,6,541347613,529
all,6,6,541512625,268
all,6,6,55276997,265
all,6,6,552849637,569
all,6,6,554117120,264
all,6,6,55774683,265
all,6,6,558779028,245
all,6,6,559913871,259
all,6,6,562544798,718
all,6,6,562658191,287
all,6,6,578574534,267
all,6,6,579163424,246
all,6,6,580390275,251
all,6,6,586000540,273
all,6,6,593159638,657
all,6,6,601363673,228
all,6,6,608773328,301
all,6,6,621908703,281
all,6,6,622805826,266
all,6,6,624910396,269
all,6,6,632290643,243
all,6,6,6435550,319
all,6,6,650343038,579
all,6,6,658812088,276
all,6,6,662081409,263
all,6,6,67146893,252
all,6,6,676226222,255
all,6,6,676255411,269
all,6,6,679431821,260
all,6,6,679749574,265
all,6,6,683551500,247
all,6,6,686352956,274
all,6,6,689993234,262
all,6,6,692334780,261
all,6,6,692437517,229
all,6,6,692876994,259
all,6,6,69446680,295
all,6,6,697189083,240
all,6,6,697846332,259
all,6,6,702258641,223
all,6,6,703251731,215
all,6,6,703339567,229
all,6,6,708589067,422
all,6,6,708616116,248
all,6,6,709250408,248
all,6,6,710126697,224
all,6,6,713823417,285
all,6,6,717459361,270
all,6,6,733283966,230
all,6,6,737144110,236
all,6,6,747155534,565
all,6,6,750043237,471
all,6,6,751087093,232
all,6,6,753933065,251
all,6,6,760447603,247
all,6,6,760628211,245
all,6,6,762953673,635
all,6,6,76305799,251
all,6,6,76585643,267
all,6,6,766406694,232
all,6,6,777614216,247
all,6,6,778376483,235
all,6,6,780688061,258
all,6,6,781452089,264
all,6,6,782032968,264
all,6,6,784693829,242
all,6,6,795475597,274
all,6,6,805089822,283
all,6,6,805222628,227
all,6,6,8093907,235
all,6,6,810123592,334
all,6,6,813347104,270
all,6,6,81386717,252
all,6,6,815601276,257
all,6,6,823326195,263
all,6,6,826183506,257
all,6,6,826656145,234
all,6,6,828554971,273
all,6,6,834010637,242
all,6,6,834180824,474
all,6,6,842702243,233
all,6,6,851413341,212
all,6,6,855610156,239
all,6,6,856015890,244
all,6,6,861089503,420
all,6,6,86160285,232
all,6,6,862092109,249
all,6,6,864076585,573
all,6,6,86583441,693
all,6,6,87191994,246
all,6,6,876905894,254
all,6,6,879617452,569
all,6,6,886895385,311
all,6,6,889189530,248
all,6,6,889559220,247
all,6,6,894623968,255
all,6,6,897559824,283
all,6,6,899186351,267
all,6,6,90887591,243
all,6,6,916917010,242
all,6,6,925465228,255
all,6,6,930622746,286
all,6,6,931830043,543
all,6,6,935639253,237
all,6,6,938621409,262
all,6,6,939314756,678
all,6,6,939325193,378
all,6,6,941091913,261
all,6,6,941198604,258
all,6,6,947418342,242
all,6,6,949651748,607
all,6,6,960648012,306
all,6,6,962916754,266
all,6,6,9646327,316
all,6,6,965075310,254
all,6,6,966658503,254
all,6,6,968281327,264
all,6,6,969469515,233
all,6,6,980836345,278
all,6,6,981709006,264
all,6,6,984188060,276
all,6,6,988845720,544
all,6,6,994461506,267
all,6,6,995007188,267
all,6,6,997436211,258
all,6,6,998339445,318
all,6,6,998439937,245
all,6,6,999665223,234
