level,M,N,seed,densityMetric
13modified,2,2,1379831680,0.7697
13modified,2,2,1381790396,0.6727
13modified,2,2,1382595488,0.7515
13modified,2,2,1389203585,0.7394
13modified,2,2,1402337128,0.6182
13modified,2,2,14077467,0.6545
13modified,2,2,1411740367,0.5515
13modified,2,2,1413466060,0.5939
13modified,2,2,141814821,0.5273
13modified,2,2,1419155383,0.6545
13modified,2,2,1420683024,0.7455
13modified,2,2,1423157577,0.7212
13modified,2,2,1433458730,0.5636
13modified,2,2,1451678684,0.6727
13modified,2,2,1464479372,0.6727
13modified,2,2,1465162440,0.5152
13modified,2,2,1473043204,0.7455
13modified,2,2,1480464729,0.5939
13modified,2,2,1484456904,0.5879
13modified,2,2,1489628639,0.7030
13modified,2,2,1495775795,0.5758
13modified,2,2,1520542207,0.6545
13modified,2,2,1526641525,0.6364
13modified,2,2,1532561611,0.6485
13modified,2,2,1540128350,0.6242
13modified,2,2,1544837667,0.6970
13modified,2,2,154608992,0.7152
13modified,2,2,1547199579,0.6727
13modified,2,2,1547740338,0.7091
13modified,2,2,1561585963,0.5879
13modified,2,2,1566441802,0.6667
13modified,2,2,1568348547,0.6788
13modified,2,2,1584618490,0.6121
13modified,2,2,158638390,0.6485
13modified,2,2,1586421629,0.5939
13modified,2,2,1591017777,0.7212
13modified,2,2,1593668080,0.7212
13modified,2,2,1600883539,0.7152
13modified,2,2,1603703592,0.6848
13modified,2,2,1607022764,0.5879
13modified,2,2,1607317979,0.6485
13modified,2,2,1615587042,0.6424
13modified,2,2,162078586,0.6545
13modified,2,2,163004113,0.5576
13modified,2,2,1630664980,0.7030
13modified,2,2,1633068406,0.7030
13modified,2,2,1634374289,0.5576
13modified,2,2,1634775464,0.5091
13modified,2,2,1636162685,0.6242
13modified,2,2,1638077620,0.6364
13modified,2,2,1638566498,0.5636
13modified,2,2,1645893154,0.7273
13modified,2,2,1651198221,0.6970
13modified,2,2,1656250022,0.5455
13modified,2,2,166572878,0.6788
13modified,2,2,1668688774,0.5697
13modified,2,2,167257553,0.6970
13modified,2,2,1672724631,0.6242
13modified,2,2,1689227618,0.6303
13modified,2,2,1693468319,0.6061
13modified,2,2,1694358957,0.5939
13modified,2,2,1697845565,0.5879
13modified,2,2,1705787132,0.6242
13modified,2,2,1712250307,0.6242
13modified,2,2,1713237707,0.5758
13modified,2,2,1717611273,0.5394
13modified,2,2,1717886909,0.6303
13modified,2,2,1721588255,0.7091
13modified,2,2,1729702861,0.6182
13modified,2,2,1730439277,0.6303
13modified,2,2,173115656,0.5939
13modified,2,2,173292399,0.6727
13modified,2,2,1744553915,0.7212
13modified,2,2,1744737028,0.6545
13modified,2,2,1744804256,0.7394
13modified,2,2,1746431209,0.6182
13modified,2,2,1750559815,0.6242
