level,M,N,seed,densityMetric
all,5,5,357551352,0.5024
all,5,5,363404885,0.5423
all,5,5,363900222,0.2463
all,5,5,364644473,0.3465
all,5,5,364863340,0.7015
all,5,5,365255740,0.8976
all,5,5,366060845,0.5024
all,5,5,366718909,0.2956
all,5,5,366837959,0.4752
all,5,5,369885001,0.2244
all,5,5,371165202,0.7756
all,5,5,379036755,0.2439
all,5,5,391995394,0.5149
all,5,5,392354927,0.4439
all,5,5,398285395,0.4585
all,5,5,399038018,0.4950
all,5,5,400558780,0.5268
all,5,5,401927902,0.2098
all,5,5,406339866,0.2822
all,5,5,406470866,0.3756
all,5,5,406926694,0.4732
all,5,5,410864725,0.3990
all,5,5,414125100,0.2723
all,5,5,414543215,0.4158
all,5,5,415938748,0.8098
all,5,5,419282972,0.7073
all,5,5,42616611,0.4098
all,5,5,427647690,0.9220
all,5,5,429288963,0.2244
all,5,5,429370344,0.4439
all,5,5,436543858,0.4488
all,5,5,436970878,0.2327
all,5,5,4396941,0.2000
all,5,5,43974541,0.3610
all,5,5,439951522,0.9356
all,5,5,440548512,0.6584
all,5,5,445407650,0.7635
all,5,5,44651891,0.6293
all,5,5,451492349,0.5248
all,5,5,456519402,0.3941
all,5,5,458033264,0.7192
all,5,5,463590549,0.6269
all,5,5,463786230,0.3645
all,5,5,474205282,0.9755
all,5,5,478046522,0.4293
all,5,5,481155136,0.6108
all,5,5,481620337,0.1683
all,5,5,482437626,0.5517
all,5,5,484363577,0.5693
all,5,5,495173396,0.1707
all,5,5,499551234,0.8416
all,5,5,507479433,0.3561
all,5,5,508286720,0.5297
all,5,5,510363223,1.1485
all,5,5,511305407,0.7525
all,5,5,5155501,0.2244
all,5,5,515919545,0.5743
all,5,5,516302760,0.7822
all,5,5,52103064,0.2244
all,5,5,521805055,0.4406
all,5,5,522002417,0.6488
all,5,5,524355746,0.7277
all,5,5,531020635,0.4752
all,5,5,532782214,0.2585
all,5,5,535943644,0.3744
all,5,5,540656952,0.4146
all,5,5,541780749,0.2772
all,5,5,547213111,0.2537
all,5,5,548652127,0.4680
all,5,5,555605470,0.4406
all,5,5,556135940,0.4059
