level,M,N,seed,linearityRSquared
all,5,5,1218600396,0.0704
all,5,5,1219446951,0.0096
all,5,5,1221950448,0.3389
all,5,5,1227092001,0.2093
all,5,5,1231251460,0.1834
all,5,5,1232692796,0.0066
all,5,5,1237829465,0.0133
all,5,5,1244476205,0.0025
all,5,5,1245863649,0.0768
all,5,5,1246508435,0.0001
all,5,5,1246604908,0.0137
all,5,5,1247709633,0.2489
all,5,5,1248350482,0.1126
all,5,5,1248500459,0.0416
all,5,5,1248509953,0.1166
all,5,5,1250168052,0.0706
all,5,5,1256757615,0.0050
all,5,5,1264684161,0.0010
all,5,5,1265865219,0.1479
all,5,5,1269576126,0.0102
all,5,5,1269736767,0.2791
all,5,5,1272679197,0.0262
all,5,5,1274173571,0.0086
all,5,5,1275281500,0.3189
all,5,5,1282871563,0.0297
all,5,5,128433351,0.0344
all,5,5,1285276595,0.0843
all,5,5,1287135277,0.1536
all,5,5,1287975461,0.0672
all,5,5,1288129439,0.0000
all,5,5,1290402515,0.0538
all,5,5,1291047064,0.0050
all,5,5,1292361057,0.0947
all,5,5,1314178681,0.0416
all,5,5,13169630,0.0261
all,5,5,1319413341,0.0737
all,5,5,1320359676,0.0431
all,5,5,1323188476,0.1137
all,5,5,133594798,0.5049
all,5,5,1337492582,0.0064
all,5,5,1338517674,0.0409
all,5,5,133986186,0.1052
all,5,5,1344544300,0.1087
all,5,5,1346196587,0.1107
all,5,5,1348693759,0.0254
all,5,5,1357610022,0.1857
all,5,5,1362603421,0.0039
all,5,5,1365318515,0.0281
all,5,5,1366142430,0.3221
all,5,5,1367849090,0.2112
all,5,5,1369690665,0.0570
all,5,5,1377883502,0.1478
all,5,5,1379846679,0.0252
all,5,5,1382971167,0.1165
all,5,5,1386740609,0.1444
all,5,5,1388885863,0.1100
all,5,5,1392239056,0.2649
all,5,5,1394890397,0.0559
all,5,5,1402377273,0.0191
all,5,5,1404024693,0.0280
all,5,5,140818280,0.0665
all,5,5,1408320868,0.0024
all,5,5,1417837201,0.1631
all,5,5,1425959877,0.2600
all,5,5,1435834795,0.0362
all,5,5,1438006558,0.0204
all,5,5,1438079204,0.0572
all,5,5,1441667388,0.0756
all,5,5,1444558805,0.0338
all,5,5,1449470392,0.0016
all,5,5,146057817,0.0000
all,5,5,1461612790,0.0001
all,5,5,1466572823,0.0224
all,5,5,1468383984,0.1714
all,5,5,1476784450,0.0117
all,5,5,1487541561,0.0096
all,5,5,1499680561,0.0148
all,5,5,1505685472,0.0831
all,5,5,1506660087,0.0700
all,5,5,1507157765,0.0629
