level,M,N,seed,completionPct,compressionDistance,editDistance,densityMetric,leniencyMetric,linearityRSquared
1,1,1,113807004,0.38,0.809696,590,0.091560,0.742607,0.0051
1,1,1,1138184120,0.33,0.868370,574,0.093322,0.795956,0.0687
1,1,1,1139765352,0.23,0.844844,583,0.118244,0.702328,0.0026
1,1,1,1140437640,0.13,0.868370,593,0.098680,0.715749,0.0125
1,1,1,1142181782,0.19,0.857702,577,0.112921,0.761236,0.0099
1,1,1,114450673,0.20,0.852368,581,0.084439,0.780750,0.0039
1,1,1,114547171,0.22,0.852368,571,0.112921,0.742165,0.0009
1,1,1,1154008721,0.53,0.844738,591,0.136045,0.698021,0.0000
1,1,1,1154460180,0.07,0.863036,596,0.127162,0.732839,0.0297
1,1,1,115767502,0.35,0.841054,569,0.132485,0.734246,0.0001
1,1,1,1157790512,0.13,0.852983,604,0.121804,0.718266,0.0064
1,1,1,1158860778,0.20,0.836366,592,0.116481,0.729750,0.0313
1,1,1,1159335042,0.14,0.835212,594,0.111123,0.744920,0.0163
1,1,1,1160460884,0.20,0.869536,589,0.139605,0.705395,0.0139
1,1,1,1161547704,0.11,0.836366,587,0.102240,0.731012,0.0069
1,1,1,1164368824,0.07,0.857152,607,0.136045,0.726196,0.0228
1,1,1,1173992572,0.16,0.863036,584,0.102240,0.752458,0.0186
1,1,1,1174427787,0.09,0.831032,588,0.102240,0.750254,0.0317
1,1,1,1174462524,0.24,0.873704,588,0.095120,0.736473,0.0064
1,1,1,1174539276,0.07,0.863036,580,0.107563,0.779530,0.0116
1,1,1,1175519146,0.44,0.868370,571,0.104003,0.778998,0.0439
1,1,1,1182202028,0.34,0.841700,578,0.114683,0.733564,0.0011
1,1,1,1182440019,0.21,0.868370,589,0.109361,0.753730,0.0003
1,1,1,1186026598,0.10,0.858226,591,0.159205,0.704802,0.0030
1,1,1,1187156785,0.32,0.868911,594,0.123602,0.735956,0.0048
1,1,1,1192201,0.18,0.825698,588,0.098680,0.761555,0.0076
1,1,1,1192513163,0.13,0.844319,579,0.127162,0.764370,0.0071
1,1,1,1197043983,0.07,0.847034,596,0.100442,0.737549,0.0190
1,1,1,1200485168,0.30,0.856553,592,0.107563,0.716050,0.0048
1,1,1,1201170237,0.08,0.857702,581,0.104003,0.743525,0.0006
1,1,1,1201565253,0.02,0.841700,588,0.112921,0.732819,0.0002
1,1,1,1207523846,0.20,0.824106,597,0.111123,0.714349,0.0272
1,1,1,1211334439,0.08,0.863036,588,0.112921,0.731825,0.0002
1,1,1,1214014878,0.09,0.820364,582,0.114683,0.755147,0.0000
1,1,1,1215609700,0.13,0.859456,569,0.125364,0.758943,0.0265
1,1,1,1218616460,0.09,0.847034,582,0.107563,0.787830,0.0187
1,1,1,1218917431,0.08,0.863036,581,0.093322,0.765110,0.0216
1,1,1,1220371580,0.45,0.860484,577,0.134283,0.737569,0.0106
1,1,1,1220532283,0.34,0.845592,579,0.134283,0.734638,0.0184
1,1,1,1221417850,0.23,0.841700,575,0.107563,0.767441,0.0002
1,1,1,1222143675,0.13,0.836366,586,0.114683,0.727482,0.0018
1,1,1,1223133942,0.06,0.832451,585,0.116481,0.709210,0.0043
1,1,1,1223610368,0.10,0.876238,590,0.130722,0.726025,0.0002
1,1,1,1223901321,0.30,0.836366,588,0.111123,0.741991,0.0029
1,1,1,1226275373,0.09,0.837219,592,0.130722,0.715381,0.0286
1,1,1,1226979448,0.84,0.836366,571,0.095120,0.764286,0.0078
1,1,1,1233913320,0.49,0.876731,585,0.118244,0.721321,0.0016
1,1,1,1236955281,0.07,0.847034,589,0.111123,0.733045,0.0001
1,1,1,1237131333,0.08,0.831032,591,0.118244,0.765644,0.1066
1,1,1,1239042658,0.42,0.847034,585,0.089762,0.728866,0.0294
1,1,1,1239558035,0.12,0.843672,585,0.130722,0.725481,0.0031
1,1,1,1239944688,0.10,0.868370,581,0.102240,0.720826,0.0434
1,1,1,1244728759,0.15,0.831032,595,0.107563,0.758415,0.0093
1,1,1,1244730043,0.07,0.861420,602,0.143165,0.709783,0.0012
1,1,1,1245567209,0.16,0.858292,587,0.137843,0.739972,0.0025
1,1,1,1246105016,0.16,0.857702,590,0.127162,0.722570,0.0006
1,1,1,124711068,0.28,0.847034,585,0.102240,0.760472,0.0117
1,1,1,1250181728,0.56,0.870022,582,0.148524,0.700419,0.0127
1,1,1,1251327432,0.09,0.868370,587,0.109361,0.726091,0.0127
1,1,1,1251359113,0.13,0.841700,599,0.107563,0.700763,0.0459
1,1,1,1252016966,0.29,0.831032,580,0.116481,0.762632,0.0004
1,1,1,1252380417,0.27,0.880977,583,0.127162,0.707244,0.0000
1,1,1,1254579297,0.11,0.857702,580,0.105801,0.744405,0.0103
1,1,1,1259435401,0.12,0.858292,581,0.116481,0.709607,0.0089
1,1,1,126743168,0.27,0.834531,587,0.105801,0.750892,0.0076
1,1,1,1268024334,0.34,0.847034,586,0.104003,0.770769,0.0044
1,1,1,1269798208,0.06,0.831032,590,0.107563,0.747156,0.0590
1,1,1,1270720746,0.30,0.863036,576,0.116481,0.739550,0.0058
1,1,1,1283165443,0.38,0.837055,594,0.121804,0.718066,0.0223
1,1,1,1285800652,0.12,0.855013,578,0.144963,0.693493,0.0018
1,1,1,1288215810,0.48,0.857702,573,0.128924,0.750150,0.0050
1,1,1,1288751559,0.08,0.838412,600,0.105801,0.713610,0.0000
