level,M,N,seed,compressionDistance
13modified,1,16,1477413073,0.005361930294906166
13modified,1,16,1477603777,0.03278688524590164
13modified,1,16,1478554099,0.1016949152542373
13modified,1,16,1485705260,0.0
13modified,1,16,1493738666,0.021739130434782608
13modified,1,16,1497059314,0.02127659574468085
13modified,1,16,1502756878,0.0625
13modified,1,16,1511014196,0.038356164383561646
13modified,1,16,1511549424,0.09230769230769231
13modified,1,16,1512173849,0.005361930294906166
13modified,1,16,1514724235,0.036939313984168866
13modified,1,16,151641113,0.10687022900763359
13modified,1,16,1519923925,0.07253886010362694
13modified,1,16,1520591354,0.031746031746031744
13modified,1,16,1523119098,0.04395604395604396
13modified,1,16,1523416595,0.09577464788732394
13modified,1,16,1525290395,0.0898876404494382
13modified,1,16,1525356389,0.005390835579514825
13modified,1,16,1532585567,0.005390835579514825
13modified,1,16,1532685163,0.057441253263707574
13modified,1,16,1533039442,0.060941828254847646
13modified,1,16,1537696857,0.0106951871657754
13modified,1,16,1538219310,0.047244094488188976
13modified,1,16,1538635465,0.11965811965811966
13modified,1,16,1543871876,0.016
13modified,1,16,1548010334,0.06666666666666667
13modified,1,16,1550908784,0.005390835579514825
13modified,1,16,156462991,0.027247956403269755
13modified,1,16,1567489355,0.07751937984496124
13modified,1,16,1569987945,0.049586776859504134
13modified,1,16,1573891020,0.005361930294906166
13modified,1,16,1577567759,0.1016949152542373
13modified,1,16,1579325423,0.0625
13modified,1,16,1579718788,0.016
13modified,1,16,158110650,0.1318051575931232
13modified,1,16,1597192292,0.09577464788732394
13modified,1,16,1597649420,0.026525198938992044
13modified,1,16,1601766857,0.16279069767441862
13modified,1,16,1604585759,0.08247422680412371
13modified,1,16,1604786055,0.05235602094240838
13modified,1,16,1605354317,0.13793103448275862
13modified,1,16,1607801886,0.042105263157894736
13modified,1,16,1613391508,0.038356164383561646
13modified,1,16,1614539992,0.06753246753246753
13modified,1,16,1617315229,0.010810810810810811
13modified,1,16,1618232878,0.09230769230769231
13modified,1,16,1629482376,0.0106951871657754
13modified,1,16,1634652975,0.1016949152542373
13modified,1,16,1652401447,0.005361930294906166
13modified,1,16,1652650581,0.21428571428571427
13modified,1,16,1659812313,0.0106951871657754
13modified,1,16,1662992992,0.038356164383561646
13modified,1,16,1672446981,0.031746031746031744
13modified,1,16,1676942378,0.0
13modified,1,16,1692069932,0.016
13modified,1,16,1693272981,0.02127659574468085
13modified,1,16,1698163619,0.005361930294906166
13modified,1,16,1698845061,0.0
13modified,1,16,1710804631,0.0898876404494382
13modified,1,16,1715881790,0.08740359897172237
13modified,1,16,1719068081,0.0782122905027933
13modified,1,16,1719353174,0.005361930294906166
13modified,1,16,1724762333,0.042105263157894736
13modified,1,16,1724803975,0.060941828254847646
13modified,1,16,1729547969,0.0106951871657754
13modified,1,16,1739807908,0.04395604395604396
13modified,1,16,1740360962,0.07253886010362694
13modified,1,16,1749190164,0.09577464788732394
13modified,1,16,175484159,0.047244094488188976
13modified,1,16,1756758712,0.08247422680412371
13modified,1,16,1758501093,0.08247422680412371
13modified,1,16,1762583483,0.005390835579514825
