level,M,N,seed,compressionDistance
all,1,16,1423682194,0.29354207436399216
all,1,16,1424869980,0.13675213675213677
all,1,16,142497295,0.10021786492374728
all,1,16,1430247905,0.16421052631578947
all,1,16,1431277483,0.28007889546351084
all,1,16,1440176088,0.09190371991247265
all,1,16,1444118058,0.22764227642276422
all,1,16,1453438136,0.16033755274261605
all,1,16,1457672976,0.22764227642276422
all,1,16,1459827370,0.12473118279569892
all,1,16,1460988487,0.036036036036036036
all,1,16,1461249056,0.205761316872428
all,1,16,1480296753,0.10845986984815618
all,1,16,1483337579,0.15254237288135594
all,1,16,1486300823,0.11663066954643629
all,1,16,1497824864,0.17954070981210857
all,1,16,1504225597,0.256
all,1,16,1504822265,0.15644820295983086
all,1,16,150604100,0.2732673267326733
all,1,16,1507258094,0.2167689161554192
all,1,16,1509632501,0.18711018711018712
all,1,16,1512170075,0.13675213675213677
all,1,16,1513047029,0.10021786492374728
all,1,16,1518358220,0.09606986899563319
all,1,16,1518938308,0.10845986984815618
all,1,16,1523850398,0.22764227642276422
all,1,16,152517913,0.205761316872428
all,1,16,1526915281,0.16421052631578947
all,1,16,1529081495,0.15644820295983086
all,1,16,1531151360,0.18333333333333332
all,1,16,1533832136,0.2732673267326733
all,1,16,1536985943,0.14861995753715498
all,1,16,1540822946,0.1719077568134172
all,1,16,1542757796,0.22040816326530613
all,1,16,1544125195,0.18711018711018712
all,1,16,1548060002,0.17573221757322174
all,1,16,1550570586,0.14072494669509594
all,1,16,1554121271,0.12473118279569892
all,1,16,1554856959,0.2454728370221328
all,1,16,1558458571,0.14861995753715498
all,1,16,1558620065,0.22764227642276422
all,1,16,1558744933,0.19834710743801653
all,1,16,1560665819,0.10434782608695652
all,1,16,1563161544,0.10021786492374728
all,1,16,1566290996,0.2020618556701031
all,1,16,1567196103,0.10021786492374728
all,1,16,1570020736,0.1908713692946058
all,1,16,1574474500,0.2698412698412698
all,1,16,15748236,0.25948103792415167
all,1,16,158096177,0.1206896551724138
all,1,16,1588781947,0.1206896551724138
all,1,16,1592441808,0.17573221757322174
all,1,16,1603146689,0.205761316872428
all,1,16,1603190713,0.004597701149425287
all,1,16,160467324,0.2454728370221328
all,1,16,1607319672,0.16806722689075632
all,1,16,1620304846,0.2167689161554192
