level,M,N,seed,leniencyMetric
all,2,2,1951063194,-53.2436
all,2,2,1959144122,-47.1216
all,2,2,1962030729,-49.5667
all,2,2,1963862649,-50.9595
all,2,2,196678503,-51.2692
all,2,2,1969283497,-42.7667
all,2,2,1979947027,-57.3780
all,2,2,1988477966,-53.0000
all,2,2,1989218905,-47.5000
all,2,2,1991756781,-50.1522
all,2,2,1998835997,-45.0667
all,2,2,2002329122,-57.4767
all,2,2,2003194834,-53.6333
all,2,2,2006648343,-48.2317
all,2,2,2008129550,-54.5909
all,2,2,2012597537,-52.8571
all,2,2,2013622268,-60.0588
all,2,2,2018523250,-56.7414
all,2,2,2027831750,-49.0200
all,2,2,2028711105,-53.2813
all,2,2,2032613547,-52.5000
all,2,2,2032709290,-57.8333
all,2,2,2037277650,-50.3947
all,2,2,2042598215,-50.9419
all,2,2,2045243867,-46.1389
all,2,2,2047260970,-44.1923
all,2,2,2055253150,-50.6250
all,2,2,2055260352,-56.0429
all,2,2,2056543553,-49.5732
all,2,2,2061859894,-60.5345
all,2,2,2065215352,-59.8514
all,2,2,2067349480,-56.7857
all,2,2,2069326171,-52.8235
all,2,2,2072683941,-51.0882
all,2,2,2073032659,-50.8023
all,2,2,2077841788,-54.7308
all,2,2,2078900831,-50.3333
all,2,2,2084778478,-56.1053
all,2,2,2086595122,-51.6613
all,2,2,2089336133,-42.4655
all,2,2,2090721879,-51.9474
all,2,2,2090749135,-47.2273
all,2,2,2090954088,-49.6000
all,2,2,2092361915,-42.5513
all,2,2,209515778,-51.7941
all,2,2,2098680720,-51.7188
all,2,2,2103026780,-43.1429
all,2,2,2105993330,-50.9474
all,2,2,2108898892,-49.3235
all,2,2,2113753870,-50.6613
all,2,2,2115404849,-53.7683
all,2,2,2124090669,-54.5270
all,2,2,2127934901,-49.8000
all,2,2,2128996900,-54.3864
all,2,2,2137861924,-49.0750
all,2,2,2138390668,-50.9750
all,2,2,2139588327,-51.4394
all,2,2,2141009491,-48.7750
all,2,2,21492040,-48.8871
all,2,2,21930459,-56.1522
all,2,2,22353703,-56.5000
all,2,2,225999372,-58.6786
all,2,2,226509787,-55.7955
all,2,2,228832894,-60.1579
all,2,2,229019102,-45.6000
all,2,2,235907694,-45.8235
all,2,2,235925162,-51.4286
all,2,2,238979097,-48.9545
all,2,2,240806326,-48.8514
all,2,2,243573700,-49.9222
all,2,2,245480496,-49.7000
all,2,2,258976179,-52.1857
all,2,2,260318576,-56.4394
all,2,2,264279916,-49.5000
all,2,2,264663592,-51.3250
all,2,2,265717410,-51.2353
all,2,2,271483271,-49.9000
all,2,2,278340220,-57.7973
all,2,2,284405506,-57.9231
all,2,2,284763583,-55.7162
all,2,2,284814185,-56.0128
all,2,2,285564450,-49.0263
all,2,2,287790814,-49.5000
all,2,2,29449191,-52.3462
all,2,2,294796082,-54.9706
all,2,2,296427284,-55.8714
all,2,2,301730690,-52.6591
all,2,2,302208530,-57.8191
all,2,2,324011762,-47.2222
all,2,2,33638186,-56.5000
all,2,2,344217223,-44.5313
all,2,2,345247305,-51.0152
all,2,2,355989640,-48.6316
all,2,2,359794293,-39.6379
all,2,2,3656297,-60.0278
all,2,2,366484697,-53.3571
all,2,2,368129150,-52.9412
all,2,2,368625471,-48.4250
all,2,2,370025683,-49.4750
all,2,2,371309519,-55.5444
all,2,2,374447600,-54.2750
all,2,2,374930229,-51.0250
all,2,2,379926920,-46.1216
all,2,2,382183064,-50.2179
all,2,2,383668415,-53.6667
all,2,2,383766180,-44.7500
all,2,2,385250073,-51.0667
all,2,2,38827726,-54.2561
all,2,2,392731427,-49.1176
all,2,2,400535179,-56.1667
all,2,2,405620869,-48.4063
all,2,2,414818884,-59.5714
all,2,2,414893779,-52.8636
all,2,2,416875994,-49.3571
all,2,2,424661845,-48.6290
all,2,2,424694963,-47.4143
all,2,2,431618020,-49.4032
all,2,2,43661461,-57.1905
all,2,2,437622381,-50.8889
all,2,2,440045570,-53.4474
all,2,2,445233199,-43.3462
all,2,2,452369723,-52.0897
all,2,2,455321581,-44.5323
all,2,2,456454537,-44.1829
all,2,2,466995634,-52.1222
all,2,2,467807963,-58.8438
all,2,2,471784060,-48.9286
all,2,2,473031507,-55.9762
all,2,2,475308570,-46.8243
all,2,2,478745059,-55.6707
all,2,2,479368371,-54.0200
all,2,2,484458108,-57.8793
all,2,2,485240562,-59.3286
all,2,2,487804032,-52.3929
all,2,2,488729533,-54.9375
all,2,2,489878915,-39.5882
all,2,2,496550176,-50.6892
all,2,2,501480951,-51.8000
all,2,2,507605578,-52.6429
all,2,2,511027599,-53.9474
all,2,2,51216678,-48.0862
all,2,2,5122976,-51.0833
all,2,2,51267008,-57.8830
all,2,2,51321412,-36.2000
all,2,2,513719574,-48.2576
all,2,2,515130950,-49.9571
all,2,2,52445556,-52.2727
all,2,2,531925169,-51.7286
all,2,2,533917039,-54.3788
all,2,2,548857900,-51.7571
all,2,2,553741966,-46.5968
all,2,2,556700241,-48.3108
all,2,2,557424792,-39.2059
all,2,2,560717774,-56.3276
all,2,2,563364277,-50.0682
all,2,2,570945810,-50.9118
all,2,2,576690593,-52.5571
all,2,2,578028889,-45.0455
all,2,2,581522155,-50.8846
all,2,2,587469330,-46.5345
all,2,2,590054297,-57.9865
all,2,2,592498032,-54.5833
all,2,2,597072756,-51.0000
all,2,2,602057918,-51.2778
all,2,2,615500284,-43.5303
all,2,2,616101528,-57.9186
all,2,2,616240291,-48.5930
all,2,2,622682182,-46.8214
all,2,2,623147825,-54.9878
all,2,2,631695468,-50.1829
all,2,2,642849686,-45.1944
all,2,2,643618536,-53.0250
all,2,2,645304625,-53.7121
all,2,2,651364503,-45.4032
all,2,2,652319552,-57.8846
all,2,2,65856406,-55.5000
all,2,2,658836001,-59.9375
all,2,2,661104555,-42.4429
all,2,2,661168573,-53.3718
all,2,2,664854618,-57.8261
all,2,2,665839572,-54.7444
all,2,2,667127838,-55.3158
all,2,2,674345469,-60.0897
all,2,2,681693207,-48.3750
