level,M,N,seed,Leniency
2,5,5,1414777772,-30.8333
2,5,5,1419094134,-30.8333
2,5,5,1430241487,-63.8182
2,5,5,1434611159,-63.8182
2,5,5,143845168,-30.8333
2,5,5,1438904696,-30.8333
2,5,5,1440069500,-30.8333
2,5,5,1442777214,-30.8333
2,5,5,144604228,-30.8333
2,5,5,1446658328,-30.8333
2,5,5,1460318742,-30.8333
2,5,5,1482196585,-30.8333
2,5,5,1489522858,-30.8333
2,5,5,14936278,-30.8333
2,5,5,1497529937,-30.8333
2,5,5,1498416246,-30.8333
2,5,5,1499436330,-30.8333
2,5,5,1501721611,-30.8333
2,5,5,1502768027,-30.8333
2,5,5,1517749108,-30.8333
2,5,5,1518710678,-30.8333
2,5,5,1543909273,-30.8333
2,5,5,1545785992,-30.8333
2,5,5,15486599,-64.5000
2,5,5,1555524716,-30.8333
2,5,5,1557594736,-30.8333
2,5,5,15576454,-30.8333
2,5,5,1564248782,-30.8333
2,5,5,1565672494,-63.8182
2,5,5,1569047275,-30.8333
2,5,5,1569382399,-30.8333
2,5,5,1575979722,-30.8333
2,5,5,157833442,-30.8333
2,5,5,1578973956,-30.8333
2,5,5,1579733995,-30.8333
2,5,5,157997394,-64.5000
2,5,5,1581278651,-30.8333
2,5,5,1585860557,-30.8333
2,5,5,159039989,-30.8333
2,5,5,1590452289,-64.5000
2,5,5,1590532971,-30.8333
2,5,5,159256652,-30.8333
2,5,5,1602463109,-30.8333
2,5,5,1605222742,-30.8333
2,5,5,161903735,-30.8333
2,5,5,1623619618,-63.8182
2,5,5,1624753699,-30.8333
2,5,5,1632367675,-30.8333
2,5,5,1635908036,-30.8333
2,5,5,1637422863,-30.8333
2,5,5,1638591183,-30.8333
2,5,5,1642898302,-30.8333
2,5,5,1648656660,-30.8333
2,5,5,1650138398,-30.8333
2,5,5,16557242,-30.8333
2,5,5,1656599052,-63.8182
2,5,5,1657444494,-30.8333
2,5,5,1659476663,-30.8333
2,5,5,1661233251,-30.8333
2,5,5,1662800513,-30.8333
2,5,5,1664547071,-30.8333
2,5,5,1667130501,-30.8333
2,5,5,1669966826,-63.8182
2,5,5,1673866035,-30.8333
2,5,5,1675318181,-30.8333
2,5,5,1676356190,-30.8333
2,5,5,1679033959,-30.8333
2,5,5,1685206767,-30.8333
2,5,5,1685788172,-30.8333
2,5,5,1689951679,-30.8333
2,5,5,1690862484,-30.8333
2,5,5,1692967933,-30.8333
2,5,5,1693289697,-30.8333
2,5,5,169381704,-30.8333
2,5,5,1713226731,-30.8333
2,5,5,1713816509,-30.8333
2,5,5,1714684414,-30.8333
2,5,5,1715452240,-63.8182
2,5,5,1716589409,-30.8333
2,5,5,1722200850,-30.8333
2,5,5,1724971345,-30.8333
2,5,5,1726724701,-30.8333
2,5,5,1737310271,-30.8333
2,5,5,1738524616,-30.8333
2,5,5,1745389420,-30.8333
2,5,5,1747330230,-30.8333
2,5,5,1754344866,-30.8333
2,5,5,1756011109,-30.8333
2,5,5,1759038033,-30.8333
