level,M,N,seed,leniencyMetric
13modified,14,6,1227968262,-31.9333
13modified,14,6,123189233,-31.9333
13modified,14,6,1235981403,-31.9333
13modified,14,6,1240176584,-31.9333
13modified,14,6,1242518622,-31.9333
13modified,14,6,124266884,-31.9333
13modified,14,6,1251498563,-31.9333
13modified,14,6,1252036614,-31.9333
13modified,14,6,1257357596,-31.9333
13modified,14,6,1258275574,-31.9333
13modified,14,6,1263347706,-31.9333
13modified,14,6,1265971353,-31.9333
13modified,14,6,1268195698,-31.9333
13modified,14,6,1269366966,-31.9333
13modified,14,6,1269791582,-31.9333
13modified,14,6,1277682281,-31.9333
13modified,14,6,1280024377,-31.9333
13modified,14,6,1283478101,-31.9333
13modified,14,6,1284487433,-31.9333
13modified,14,6,1287031938,-31.9333
13modified,14,6,1287767715,-31.9333
13modified,14,6,1288857642,-31.9333
13modified,14,6,1291548070,-31.9333
13modified,14,6,1292230913,-31.9333
13modified,14,6,1292558565,-31.9333
13modified,14,6,1297727388,-31.9333
13modified,14,6,1300976644,-31.9333
13modified,14,6,130354990,-31.9333
13modified,14,6,1306795621,-31.9333
13modified,14,6,1309141301,-31.9333
13modified,14,6,1319532366,-31.9333
13modified,14,6,1320752298,-31.9333
13modified,14,6,1325760068,-31.9333
13modified,14,6,1326361826,-31.9333
13modified,14,6,1328749068,-31.9333
13modified,14,6,1330251040,-31.9333
13modified,14,6,1330675345,-31.9333
13modified,14,6,1332719602,-31.9333
13modified,14,6,133731022,-31.9333
13modified,14,6,1337339810,-31.9333
13modified,14,6,1337776267,-31.9333
13modified,14,6,1339053847,-31.9333
13modified,14,6,1341278904,-31.9333
13modified,14,6,1345449191,-31.9333
13modified,14,6,1349486188,-31.9333
13modified,14,6,135608223,-31.9333
13modified,14,6,1364203706,-31.9333
13modified,14,6,1364387963,-31.9333
13modified,14,6,1369419591,-31.9333
13modified,14,6,1369501897,-31.9333
13modified,14,6,1379200786,-31.9333
13modified,14,6,1379831680,-31.9333
13modified,14,6,1382595488,-31.9333
13modified,14,6,1402337128,-31.9333
13modified,14,6,14077467,-31.9333
13modified,14,6,1413466060,-31.9333
13modified,14,6,1416064093,-31.9333
13modified,14,6,1420683024,-31.9333
13modified,14,6,1423157577,-31.9333
13modified,14,6,1423250053,-31.9333
13modified,14,6,1431914259,-31.9333
13modified,14,6,1433458730,-31.9333
13modified,14,6,1451678684,-31.9333
13modified,14,6,1464479372,-31.9333
13modified,14,6,1465162440,-31.9333
13modified,14,6,1473043204,-31.9333
13modified,14,6,1480464729,-31.9333
13modified,14,6,1484456904,-31.9333
13modified,14,6,148661738,-31.9333
13modified,14,6,1489628639,-31.9333
13modified,14,6,1495775795,-31.9333
13modified,14,6,1498928110,-31.9333
13modified,14,6,1520542207,-31.9333
13modified,14,6,1526641525,-31.9333
13modified,14,6,1532561611,-31.9333
13modified,14,6,1540128350,-31.9333
13modified,14,6,1544837667,-31.9333
13modified,14,6,154608992,-31.9333
13modified,14,6,1547199579,-31.9333
13modified,14,6,1547740338,-31.9333
13modified,14,6,1557493364,-31.9333
13modified,14,6,1561585963,-31.9333
13modified,14,6,1568348547,-31.9333
13modified,14,6,1586421629,-31.9333
13modified,14,6,1591017777,-31.9333
13modified,14,6,1593668080,-31.9333
13modified,14,6,159951477,-31.9333
13modified,14,6,1601108799,-31.9333
13modified,14,6,1603703592,-31.9333
13modified,14,6,1607022764,-31.9333
13modified,14,6,1615587042,-31.9333
13modified,14,6,162078586,-31.9333
13modified,14,6,163004113,-31.9333
13modified,14,6,1633068406,-31.9333
13modified,14,6,1634374289,-31.9333
13modified,14,6,1634775464,-31.9333
13modified,14,6,1636162685,-31.9333
13modified,14,6,1638077620,-31.9333
13modified,14,6,1638566498,-31.9333
13modified,14,6,1643519640,-31.9333
13modified,14,6,1645893154,-31.9333
13modified,14,6,1651198221,-31.9333
13modified,14,6,1653312390,-31.9333
13modified,14,6,165451374,-31.9333
13modified,14,6,166572878,-31.9333
13modified,14,6,1668688774,-31.9333
13modified,14,6,167257553,-31.9333
13modified,14,6,1672674678,-31.9333
13modified,14,6,1672724631,-31.9333
13modified,14,6,1689227618,-31.9333
13modified,14,6,1693468319,-31.9333
13modified,14,6,1694358957,-31.9333
13modified,14,6,1697845565,-31.9333
13modified,14,6,1705787132,-31.9333
13modified,14,6,1712250307,-31.9333
13modified,14,6,1713237707,-31.9333
13modified,14,6,1717611273,-31.9333
13modified,14,6,1717886909,-31.9333
13modified,14,6,1721588255,-31.9333
13modified,14,6,1729702861,-31.9333
13modified,14,6,1730439277,-31.9333
13modified,14,6,173115656,-31.9333
13modified,14,6,173292399,-31.9333
13modified,14,6,1744553915,-31.9333
13modified,14,6,1744737028,-31.9333
13modified,14,6,1744804256,-31.9333
13modified,14,6,1746431209,-31.9333
13modified,14,6,1750559815,-31.9333
13modified,14,6,1752074182,-31.9333
13modified,14,6,176722827,-31.9333
13modified,14,6,1768833,-31.9333
13modified,14,6,177560558,-31.9333
13modified,14,6,1778788955,-31.9333
13modified,14,6,1779805298,-31.9333
13modified,14,6,1785302474,-31.9333
13modified,14,6,1793153628,-31.9333
13modified,14,6,1793243426,-31.9333
13modified,14,6,1794308733,-31.9333
13modified,14,6,1794464909,-31.9333
13modified,14,6,1797312153,-31.9333
13modified,14,6,1799431546,-31.9333
13modified,14,6,18107705,-31.9333
13modified,14,6,181402991,-31.9333
13modified,14,6,1825482834,-31.9333
13modified,14,6,1826378815,-31.9333
13modified,14,6,1827868359,-31.9333
13modified,14,6,1828327073,-31.9333
13modified,14,6,1842463727,-31.9333
13modified,14,6,1845886320,-31.9333
13modified,14,6,1849290766,-31.9333
13modified,14,6,1850202467,-31.9333
13modified,14,6,185542289,-31.9333
13modified,14,6,1862084519,-31.9333
13modified,14,6,1865257272,-31.9333
13modified,14,6,1866703979,-31.9333
13modified,14,6,1871053106,-31.9333
13modified,14,6,187352246,-31.9333
13modified,14,6,1876586952,-31.9333
13modified,14,6,1878855187,-31.9333
13modified,14,6,1880925967,-31.9333
13modified,14,6,1881583603,-31.9333
13modified,14,6,1889767891,-31.9333
13modified,14,6,188987678,-31.9333
